Nom,distinction reçue,fonction,occupation,pays de nationalité,Né le,Décédé le
Paul-Armand Challemel-Lacour,,député français,personnalité politique,France,19 mai 1827,26 octobre 1896
Joseph Hèvre,,député de Seine-et-Oise,personnalité politique,France,6 avril 1827,30 juillet 1907
Émile Lenoël,,député français,personnalité politique,France,23 mars 1827,23 octobre 1893
Léon Journault,,député français,personnalité politique,France,24 février 1827,21 juillet 1892
Sosthène Patissier,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,4 février 1827,25 septembre 1910
Alfred Thomas,,député français,personnalité politique,France,29 octobre 1826,28 janvier 1899
Eugène Arrazat,,député français,personnalité politique,France,3 octobre 1826,24 septembre 1883
Charles Dietz-Monnin,commandeur de la Légion d'honneur‎,sénateur inamovible,industriel,France,13 septembre 1826,6 janvier 1896
Jules Warnier,,député français,personnalité politique,France,26 août 1826,21 juin 1899
Pierre Albert Tachard,,député français,personnalité politique,FR,30 juillet 1826,12 février 1919
Jean-Baptiste Cunit,,député français,personnalité politique,France,7 juillet 1826,2 janvier 1880
Charles Ernest Beulé,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,29 juin 1826,4 avril 1874
Jules Gévelot,,député français,personnalité politique,France,6 juin 1826,17 août 1904
Léon Say,grand-croix de la Légion d'honneur‎,député de la Seine,Homme politique,France,6 juin 1826,21 avril 1896
Albert Ricot,,député de la Haute-Saône,personnalité politique,France,5 mai 1826,23 février 1902
Henri Varroy,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,25 mars 1826,23 mars 1883
Louis Jacques La Caze,,député des Pyrénées-Atlantiques,personnalité politique,France,20 janvier 1826,1er novembre 1897
Ferdinand Moreau,officier de la Légion d'honneur,député de la Seine,personnalité politique,France,20 janvier 1826,26 mars 1884
Gustave Loustalot,,député des Landes,personnalité politique,France,4 janvier 1826,27 juillet 1898
Jules Bozérian,officier de la Légion d'honneur,député français,personnalité politique,France,28 octobre 1825,9 mars 1893
Octave Depeyre,,député français,politicien,France,15 octobre 1825,29 septembre 1891
Alfred Koechlin-Steinbach,,député du Haut-Rhin,personnalité politique,France,19 septembre 1825,3 juillet 1872
Francisque-Joseph Ramey de Sugny,,député de la Loire,personnalité politique,France,14 septembre 1825,12 juin 1908
Charles Mazeau,grand officier de la Légion d'honneur‎,député français,personnalité politique,France,1er septembre 1825,8 février 1905
Charles-Jean-Joseph-Louis Decazes,,député français,personnalité politique,France,28 août 1825,13 janvier 1897
Ernest Le Chatelain,,député français,personnalité politique,France,1er juillet 1825,15 février 1890
Joseph Cheguillaume,,député de la Loire-Atlantique,industriel,France,18 juin 1825,18 février 1897
Gustave de Juigné,,député de la Loire-Atlantique,personnalité politique,France,15 juin 1825,13 octobre 1900
Jean-Baptiste-Gédéon Charreyron,,député français,personnalité politique,France,7 juin 1825,21 août 1898
Eugène-Pierre de Fontaines,,député de la Vendée,politicien,France,15 mai 1825,25 juillet 1886
François Marc Godissart,,Député de la Troisième République française,personnalité politique,France,25 avril 1825,26 juin 1882
Ernest de Juigné,,député de la Sarthe,personnalité politique,France,16 avril 1825,6 juin 1886
Émile Forsanz,,député français,personnalité politique,France,16 avril 1825,11 août 1882
Édouard Morisson de La Bassetière,,député de la Vendée,personnalité politique,France,9 mars 1825,23 octobre 1885
Louis Étienne Delille,,député français,personnalité politique,France,24 février 1825,19 juillet 1890
Frédéric Mestreau,,député de la Charente-Maritime,personnalité politique,France,15 février 1825,19 septembre 1891
Charles Loysel,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,14 février 1825,5 mars 1889
Louis Lempereur de Saint-Pierre,,député français,personnalité politique,France,4 février 1825,2 février 1889
Jean Mercier,,député français,personnalité politique,France,10 janvier 1825,20 décembre 1899
Louis Babin-Chevaye,officier de la Légion d'honneur,député de la Loire-Atlantique,industriel,France,2 novembre 1824,6 avril 1887
Alphonse-Alfred Haëntjens,officier de la Légion d'honneur,député de la Sarthe,patron de presse,France,11 juin 1824,11 avril 1884
Gabriel Louis de Saint-Victor,,député français,personnalité politique,France,24 mars 1824,12 mars 1893
Joseph Nelson Soye,,député français,personnalité politique,France,3 mars 1824,4 octobre 1882
